3/1/2023 12:50 | \errorHandler.js(37) | l26olxRGEyrZSdj38xxdOMohwVT4RPrB | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'addressLine1' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'addressLine1' in 'field list'\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 12:52 | \errorHandler.js(37) | 0f7yf2o9cr5ySFNfY1iAbgt6cGr76d9O | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"SequelizeDatabaseError: Table 'cube_84.order' doesn't exist","stack":"Error: SequelizeDatabaseError: Table 'cube_84.order' doesn't exist\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 13:02 | \errorHandler.js(37) | lKriOkyFRUENa1lHmKlhPQR1DkKZ2BoZ | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"SequelizeDatabaseError: Unknown column 'products' in 'field list'","stack":"Error: SequelizeDatabaseError: Unknown column 'products' in 'field list'\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 13:03 | \errorHandler.js(37) | cAvXjQEdMrtf9QaO4HGZswQAvMCa4l1M | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"ReferenceError: price is not defined","stack":"Error: ReferenceError: price is not defined\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 13:08 | \errorHandler.js(37) | QKbTbrRzttlXtv6os6fFYRPYPNfk3GkQ | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"TypeError: order.breate is not a function","stack":"Error: TypeError: order.breate is not a function\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 13:09 | \errorHandler.js(37) | C9qb1cDaTl1cj6M8uLHfYlwZYq8clOuc | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"ReferenceError: price is not defined","stack":"Error: ReferenceError: price is not defined\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 13:10 | \errorHandler.js(37) | njmWOfrLpDi3Ys6ewN8haOMAopyg4Vz7 | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"ReferenceError: price is not defined","stack":"Error: ReferenceError: price is not defined\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 13:11 | \errorHandler.js(37) | xsg7fhIV5IIC1ZB8S3yIYq0BEIK7FwMz | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"ReferenceError: singlePrice is not defined","stack":"Error: ReferenceError: singlePrice is not defined\n    at OrderService.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:84:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:50:17)"}
3/1/2023 13:15 | \errorHandler.js(37) | 3tkNrZFGYJQ5Ofrg2ZAEgaMGSSkAH7iQ | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/createOrder | POST | Request : {"products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}],"addressLine1":"1-66","addressLine2":"street 1 ","city":"madurai","state":"tamil nadu"} | Error : {"message":"createOrder is not defined","stack":"ReferenceError: createOrder is not defined\n    at OrderController.createOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:55:7)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)"}
3/1/2023 14:24 | \errorHandler.js(37) | Zv5kFVxCj9rDi01qv2KlQ4uaCvlXDJZ9 | [error] | IP - ::1 | URL : http://localhost:2167/auth/api/v1/orders/updateOrder | PUT | Request : {"orderId":"1","products":[{"productId":"1","quantity":2},{"productId":"2","quantity":3}]} | Error : {"message":"SyntaxError: Unexpected token u in JSON at position 0","stack":"Error: SyntaxError: Unexpected token u in JSON at position 0\n    at OrderService.updateOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\service\\order.service.js:109:11)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async OrderController.updateOrder (C:\\Users\\DB-L-194\\OneDrive\\Desktop\\Cube84_sql\\src\\controllers\\order.controller.js:70:16)"}
